subgroup,measurement,usl,lsl,batch
1,10.2,12.0,8.0,A
1,10.5,12.0,8.0,A
1,9.8,12.0,8.0,A
1,10.1,12.0,8.0,A
1,10.3,12.0,8.0,A
2,9.9,12.0,8.0,A
2,10.0,12.0,8.0,A
2,10.4,12.0,8.0,A
2,10.2,12.0,8.0,A
2,9.7,12.0,8.0,A
3,10.6,12.0,8.0,B
3,10.3,12.0,8.0,B
3,10.1,12.0,8.0,B
3,10.4,12.0,8.0,B
3,10.5,12.0,8.0,B
4,9.8,12.0,8.0,B
4,10.2,12.0,8.0,B
4,10.0,12.0,8.0,B
4,9.9,12.0,8.0,B
4,10.1,12.0,8.0,B
5,10.3,12.0,8.0,B
5,10.5,12.0,8.0,B
5,10.2,12.0,8.0,B
5,10.4,12.0,8.0,B
5,10.0,12.0,8.0,B
6,10.1,12.0,8.0,A
6,10.3,12.0,8.0,A
6,9.9,12.0,8.0,A
6,10.5,12.0,8.0,A
6,10.2,12.0,8.0,A
7,9.7,12.0,8.0,A
7,10.0,12.0,8.0,A
7,10.4,12.0,8.0,A
7,10.1,12.0,8.0,A
7,9.8,12.0,8.0,A
8,10.5,12.0,8.0,B
8,10.6,12.0,8.0,B
8,10.2,12.0,8.0,B
8,10.4,12.0,8.0,B
8,10.3,12.0,8.0,B
9,9.9,12.0,8.0,B
9,10.1,12.0,8.0,B
9,10.0,12.0,8.0,B
9,10.3,12.0,8.0,B
9,9.8,12.0,8.0,B
10,10.4,12.0,8.0,A
10,10.2,12.0,8.0,A
10,10.6,12.0,8.0,A
10,10.1,12.0,8.0,A
10,10.3,12.0,8.0,A
11,10.0,12.0,8.0,A
11,10.3,12.0,8.0,A
11,9.9,12.0,8.0,A
11,10.5,12.0,8.0,A
11,10.2,12.0,8.0,A
12,9.8,12.0,8.0,B
12,10.1,12.0,8.0,B
12,10.4,12.0,8.0,B
12,10.0,12.0,8.0,B
12,9.9,12.0,8.0,B
13,10.5,12.0,8.0,B
13,10.3,12.0,8.0,B
13,10.2,12.0,8.0,B
13,10.6,12.0,8.0,B
13,10.4,12.0,8.0,B
14,10.1,12.0,8.0,A
14,9.9,12.0,8.0,A
14,10.3,12.0,8.0,A
14,10.0,12.0,8.0,A
14,10.2,12.0,8.0,A
15,10.4,12.0,8.0,A
15,10.1,12.0,8.0,A
15,10.5,12.0,8.0,A
15,10.3,12.0,8.0,A
15,9.8,12.0,8.0,A
16,10.0,12.0,8.0,B
16,9.7,12.0,8.0,B
16,10.2,12.0,8.0,B
16,10.4,12.0,8.0,B
16,10.1,12.0,8.0,B
17,10.3,12.0,8.0,B
17,10.5,12.0,8.0,B
17,10.0,12.0,8.0,B
17,10.2,12.0,8.0,B
17,10.4,12.0,8.0,B
18,9.9,12.0,8.0,A
18,10.1,12.0,8.0,A
18,10.3,12.0,8.0,A
18,9.8,12.0,8.0,A
18,10.5,12.0,8.0,A
19,10.2,12.0,8.0,A
19,10.0,12.0,8.0,A
19,10.4,12.0,8.0,A
19,10.1,12.0,8.0,A
19,10.3,12.0,8.0,A
20,9.7,12.0,8.0,B
20,10.5,12.0,8.0,B
20,10.2,12.0,8.0,B
20,10.0,12.0,8.0,B
20,10.4,12.0,8.0,B
21,10.3,12.0,8.0,B
21,10.1,12.0,8.0,B
21,10.5,12.0,8.0,B
21,9.9,12.0,8.0,B
21,10.2,12.0,8.0,B
22,10.0,12.0,8.0,A
22,10.4,12.0,8.0,A
22,10.2,12.0,8.0,A
22,9.8,12.0,8.0,A
22,10.1,12.0,8.0,A
23,10.5,12.0,8.0,A
23,10.3,12.0,8.0,A
23,10.0,12.0,8.0,A
23,10.6,12.0,8.0,A
23,10.2,12.0,8.0,A
24,9.9,12.0,8.0,B
24,10.1,12.0,8.0,B
24,10.4,12.0,8.0,B
24,10.3,12.0,8.0,B
24,10.0,12.0,8.0,B
25,10.2,12.0,8.0,B
25,10.4,12.0,8.0,B
25,10.1,12.0,8.0,B
25,10.5,12.0,8.0,B
25,9.8,12.0,8.0,B
